estado_de_suscripcion,visualizaciones,tiempo_de_visualizacion_(horas),duracion_media_de_las_visualizaciones,fecha_publicacion,nombre_video
No suscrito,187,16.369,0:05:15,20220823,⭐ Usa la HERRAMIENTA ORIGEN para OPTIMIZAR tu FLUJO de TRABAJO ▶ CorelDRAW
Total,711,6.5255,0:00:33,20210726,🦊🏃_♀️ The Fox Design SHORT
Suscrito,376,3.6822,0:00:35,20210726,🦊🏃_♀️ The Fox Design SHORT
No suscrito,335,2.8432,0:00:30,20210726,🦊🏃_♀️ The Fox Design SHORT
Total,1003,22.3128,0:01:20,20210406,🌟 Conoce la Nueva COLABORACIÓN de TRABAJO REMOTO en CorelDRAW 2021 ▶ DelcaVideography de DelcaVideography
Suscrito,598,13.1721,0:01:19,20210406,🌟 Conoce la Nueva COLABORACIÓN de TRABAJO REMOTO en CorelDRAW 2021 ▶ DelcaVideography de DelcaVideography
No suscrito,405,9.1407,0:01:21,20210406,🌟 Conoce la Nueva COLABORACIÓN de TRABAJO REMOTO en CorelDRAW 2021 ▶ DelcaVideography de DelcaVideography
Total,1881,111.3451,0:03:33,20220301,✔💪🏼 Sigue estas TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Suscrito,1292,73.1272,0:03:23,20220301,✔💪🏼 Sigue estas TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
No suscrito,589,38.2179,0:03:53,20220301,✔💪🏼 Sigue estas TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Total,918,4.2187,0:00:16,20211215,👌🏼 Te DOY un TRUCO SECRETO 🤯 para HACER INTROS INCREÍBLES y en POCOS PASOS
Suscrito,691,3.2347,0:00:16,20211215,👌🏼 Te DOY un TRUCO SECRETO 🤯 para HACER INTROS INCREÍBLES y en POCOS PASOS
No suscrito,227,0.984,0:00:15,20211215,👌🏼 Te DOY un TRUCO SECRETO 🤯 para HACER INTROS INCREÍBLES y en POCOS PASOS
Total,6368,323.9838,0:03:03,20210316,🌟 CONOCE el Nuevo DIBUJO en PERSPECTIVA de CorelDRAW 2021 ▶ DelcaVideography de DelcaVideography
No suscrito,4419,210.7868,0:02:51,20210316,🌟 CONOCE el Nuevo DIBUJO en PERSPECTIVA de CorelDRAW 2021 ▶ DelcaVideography de DelcaVideography
Suscrito,1949,113.197,0:03:29,20210316,🌟 CONOCE el Nuevo DIBUJO en PERSPECTIVA de CorelDRAW 2021 ▶ DelcaVideography de DelcaVideography
Total,961,36.8612,0:02:18,20211005,👌🏼 EASY Design LOGO Process in CorelDRAW ▶ BEST Tips and Tricks 
Suscrito,758,28.6894,0:02:16,20211005,👌🏼 EASY Design LOGO Process in CorelDRAW ▶ BEST Tips and Tricks 
No suscrito,203,8.1718,0:02:24,20211005,👌🏼 EASY Design LOGO Process in CorelDRAW ▶ BEST Tips and Tricks 
Total,1759,81.2212,0:02:46,20211008,🤔🧠 Procesos de DISEÑO INTELIGENTES en CorelDRAW 🖋 Tips & Tricks
Suscrito,1273,56.1436,0:02:38,20211008,🤔🧠 Procesos de DISEÑO INTELIGENTES en CorelDRAW 🖋 Tips & Tricks
No suscrito,486,25.0776,0:03:05,20211008,🤔🧠 Procesos de DISEÑO INTELIGENTES en CorelDRAW 🖋 Tips & Tricks
Total,3178,295.7803,0:05:35,20210615,🔥 APRENDE a EDITAR VIDEOS con Windows 10 😮 _TUTORIAL COMPLETO_ ▶ 
No suscrito,2537,245.1462,0:05:47,20210615,🔥 APRENDE a EDITAR VIDEOS con Windows 10 😮 _TUTORIAL COMPLETO_ ▶ 
Suscrito,641,50.6341,0:04:44,20210615,🔥 APRENDE a EDITAR VIDEOS con Windows 10 😮 _TUTORIAL COMPLETO_ ▶ 
Total,929,3.1681,0:00:12,20211201,Si lo QUIERES lo APRENDES 😉 ▶ Logo TUTORIALES en CorelDRAW
No suscrito,478,1.7216,0:00:12,20211201,Si lo QUIERES lo APRENDES 😉 ▶ Logo TUTORIALES en CorelDRAW
Suscrito,451,1.4465,0:00:11,20211201,Si lo QUIERES lo APRENDES 😉 ▶ Logo TUTORIALES en CorelDRAW
Total,2338,131.0947,0:03:21,20220405,✨✔ APLICA TODAS las TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Suscrito,1658,87.0418,0:03:08,20220405,✨✔ APLICA TODAS las TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
No suscrito,680,44.053,0:03:53,20220405,✨✔ APLICA TODAS las TÉCNICAS para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Total,2253,172.9071,0:04:36,20210412,✅ Las 5 formas MÁS PRODUCTIVAS de EXPORTAR en CorelDRAW 2021 ⚙️ (TUTORIAL Bien Explicado 💚) de DelcaVideography
No suscrito,1456,111.3138,0:04:35,20210412,✅ Las 5 formas MÁS PRODUCTIVAS de EXPORTAR en CorelDRAW 2021 ⚙️ (TUTORIAL Bien Explicado 💚) de DelcaVideography
Suscrito,797,61.5933,0:04:38,20210412,✅ Las 5 formas MÁS PRODUCTIVAS de EXPORTAR en CorelDRAW 2021 ⚙️ (TUTORIAL Bien Explicado 💚) de DelcaVideography
Total,41179,1429.967,0:02:05,20210503,👉 Cómo poner la BARRA de HERRAMIENTAS 🛠 de Corel Draw ▶
No suscrito,37995,1310.5675,0:02:04,20210503,👉 Cómo poner la BARRA de HERRAMIENTAS 🛠 de Corel Draw ▶
Suscrito,3184,119.3996,0:02:15,20210503,👉 Cómo poner la BARRA de HERRAMIENTAS 🛠 de Corel Draw ▶
Total,1814,80.1881,0:02:39,20210803,💧 Las MEJORES Técnicas para RENDERIZAR en CorelDRAW ▶ LOGO TUTORIAL
Suscrito,1087,49.6206,0:02:44,20210803,💧 Las MEJORES Técnicas para RENDERIZAR en CorelDRAW ▶ LOGO TUTORIAL
No suscrito,727,30.5676,0:02:31,20210803,💧 Las MEJORES Técnicas para RENDERIZAR en CorelDRAW ▶ LOGO TUTORIAL
Total,7064,249.3815,0:02:07,20210429,👉 PASOS para INGRESAR a Corel Draw ▶ DelcaVideography de DelcaVideography
No suscrito,4758,163.6176,0:02:03,20210429,👉 PASOS para INGRESAR a Corel Draw ▶ DelcaVideography de DelcaVideography
Suscrito,2306,85.7639,0:02:13,20210429,👉 PASOS para INGRESAR a Corel Draw ▶ DelcaVideography de DelcaVideography
Total,1518,111.2804,0:04:23,20220517,✍🏼APRENDE a CREAR LOGOS SIMPLES 🔑 si haces ESTO ▶ TUTORIAL CorelDRAW
Suscrito,1175,80.5489,0:04:06,20220517,✍🏼APRENDE a CREAR LOGOS SIMPLES 🔑 si haces ESTO ▶ TUTORIAL CorelDRAW
No suscrito,343,30.7316,0:05:22,20220517,✍🏼APRENDE a CREAR LOGOS SIMPLES 🔑 si haces ESTO ▶ TUTORIAL CorelDRAW
Total,466,14.0877,0:01:48,20220421,🎧🔊 Te MUESTRO CÓMO INSTALÉ las Espumas Acústicas en mi ESTUDIO ⚡
Suscrito,399,11.9501,0:01:47,20220421,🎧🔊 Te MUESTRO CÓMO INSTALÉ las Espumas Acústicas en mi ESTUDIO ⚡
No suscrito,67,2.1376,0:01:54,20220421,🎧🔊 Te MUESTRO CÓMO INSTALÉ las Espumas Acústicas en mi ESTUDIO ⚡
Total,1027,11.0127,0:00:38,20220414,⚡ Contrucción de LOGOS PASO a PASO en CorelDRAW ▶ SHORTS
No suscrito,588,6.0342,0:00:36,20220414,⚡ Contrucción de LOGOS PASO a PASO en CorelDRAW ▶ SHORTS
Suscrito,439,4.9785,0:00:40,20220414,⚡ Contrucción de LOGOS PASO a PASO en CorelDRAW ▶ SHORTS
Total,864,8.4556,0:00:35,20220312,🚴🏼_♂️🏃🏼_♂️ Proceso CONSTUCTIVO de LOGOS ✔ _ SHORTS ▶
Suscrito,478,4.9747,0:00:37,20220312,🚴🏼_♂️🏃🏼_♂️ Proceso CONSTUCTIVO de LOGOS ✔ _ SHORTS ▶
No suscrito,386,3.4809,0:00:32,20220312,🚴🏼_♂️🏃🏼_♂️ Proceso CONSTUCTIVO de LOGOS ✔ _ SHORTS ▶
Total,563,3.9054,0:00:24,20210721,Reemplazo de COLOR FÁCIL - YOUTUBE SHORT ►
Suscrito,323,2.5794,0:00:28,20210721,Reemplazo de COLOR FÁCIL - YOUTUBE SHORT ►
No suscrito,240,1.326,0:00:19,20210721,Reemplazo de COLOR FÁCIL - YOUTUBE SHORT ►
Total,2475,131.3804,0:03:11,20211117,✅ USA estas TÉCNICAS de DIBUJO para DISEÑAR como PRO 😎 en CorelDRAW ► TUTORIAL
Suscrito,1574,87.4065,0:03:19,20211117,✅ USA estas TÉCNICAS de DIBUJO para DISEÑAR como PRO 😎 en CorelDRAW ► TUTORIAL
No suscrito,901,43.9739,0:02:55,20211117,✅ USA estas TÉCNICAS de DIBUJO para DISEÑAR como PRO 😎 en CorelDRAW ► TUTORIAL
Total,4068,256.7457,0:03:47,20211209,✔ Estos son los PASO a PASO para CONSTRUIR LOGOS en CorelDRAW
No suscrito,2103,147.4536,0:04:12,20211209,✔ Estos son los PASO a PASO para CONSTRUIR LOGOS en CorelDRAW
Suscrito,1965,109.2921,0:03:20,20211209,✔ Estos son los PASO a PASO para CONSTRUIR LOGOS en CorelDRAW
Total,17952,1332.1218,0:04:27,20210419,✅ APRENDE a REEMPLAZAR el COLOR de IMÁGENES (Bien Explicado 💚 ) ▷ CorelDRAW 2021 👉🏼 DelcaVideography de DelcaVideography
No suscrito,14661,1022.7756,0:04:11,20210419,✅ APRENDE a REEMPLAZAR el COLOR de IMÁGENES (Bien Explicado 💚 ) ▷ CorelDRAW 2021 👉🏼 DelcaVideography de DelcaVideography
Suscrito,3291,309.3461,0:05:38,20210419,✅ APRENDE a REEMPLAZAR el COLOR de IMÁGENES (Bien Explicado 💚 ) ▷ CorelDRAW 2021 👉🏼 DelcaVideography de DelcaVideography
Total,1083,64.6315,0:03:34,20210624,🔥  MUST SEE! CorelDRAW BEST Techniques for Beginners & Experts TUTORIAL (2021) ⚓  ►
Suscrito,839,49.0437,0:03:30,20210624,🔥  MUST SEE! CorelDRAW BEST Techniques for Beginners & Experts TUTORIAL (2021) ⚓  ►
No suscrito,244,15.5878,0:03:49,20210624,🔥  MUST SEE! CorelDRAW BEST Techniques for Beginners & Experts TUTORIAL (2021) ⚓  ►
Total,704,46.7093,0:03:58,20220809,🔥 REVIEW XP-PEN Artist 16 (2nd Gen) + Test + PROMO | Tableta GRÁFICA para EMPEZAR ► DelcaVideography de DelcaVideography
No suscrito,364,23.6527,0:03:53,20220809,🔥 REVIEW XP-PEN Artist 16 (2nd Gen) + Test + PROMO | Tableta GRÁFICA para EMPEZAR ► DelcaVideography de DelcaVideography
Suscrito,340,23.0566,0:04:04,20220809,🔥 REVIEW XP-PEN Artist 16 (2nd Gen) + Test + PROMO | Tableta GRÁFICA para EMPEZAR ► DelcaVideography de DelcaVideography
Total,1190,49.6256,0:02:30,20210715,🔥 CorelDRAW ESSENTIAL Techniques for Beginners & Experts ▶ LOGO TUTORIAL
Suscrito,810,34.5676,0:02:33,20210715,🔥 CorelDRAW ESSENTIAL Techniques for Beginners & Experts ▶ LOGO TUTORIAL
No suscrito,380,15.058,0:02:22,20210715,🔥 CorelDRAW ESSENTIAL Techniques for Beginners & Experts ▶ LOGO TUTORIAL
Total,2027,109.5547,0:03:14,20210909,📖 3D FLIP PAGE TEXT Effect _ CorelDRAW TUTORIAL
Suscrito,1464,79.7622,0:03:16,20210909,📖 3D FLIP PAGE TEXT Effect _ CorelDRAW TUTORIAL
No suscrito,563,29.7925,0:03:10,20210909,📖 3D FLIP PAGE TEXT Effect _ CorelDRAW TUTORIAL
Total,25802,391.6244,0:00:54,20210308,💚 Curso COREL DRAW en YOUTUBE 2022 (Entrenamiento Online) ▶ DelcaVideography de DelcaVideography
No suscrito,18014,275.5346,0:00:55,20210308,💚 Curso COREL DRAW en YOUTUBE 2022 (Entrenamiento Online) ▶ DelcaVideography de DelcaVideography
Suscrito,7788,116.0898,0:00:53,20210308,💚 Curso COREL DRAW en YOUTUBE 2022 (Entrenamiento Online) ▶ DelcaVideography de DelcaVideography
Total,1376,83.4713,0:03:38,20211207,🎉🎈 TIPS ESENCIALES para CREAR tu PROPIA TARJETA de CUMPLEAÑOS en CorelDRAW
Suscrito,917,52.3697,0:03:25,20211207,🎉🎈 TIPS ESENCIALES para CREAR tu PROPIA TARJETA de CUMPLEAÑOS en CorelDRAW
No suscrito,459,31.1016,0:04:03,20211207,🎉🎈 TIPS ESENCIALES para CREAR tu PROPIA TARJETA de CUMPLEAÑOS en CorelDRAW
Total,3078,390.6325,0:07:36,20210525,Cómo CREAR una TARJETA de NEGOCIOS VIRTUAL 💳 PASO a PASO ▶ Tutorial CorelDRAW (2021)
No suscrito,1580,178.9387,0:06:47,20210525,Cómo CREAR una TARJETA de NEGOCIOS VIRTUAL 💳 PASO a PASO ▶ Tutorial CorelDRAW (2021)
Suscrito,1498,211.6939,0:08:28,20210525,Cómo CREAR una TARJETA de NEGOCIOS VIRTUAL 💳 PASO a PASO ▶ Tutorial CorelDRAW (2021)
Total,1675,90.6025,0:03:14,20210930,🧐 El Proceso de DISEÑO de LOGOS _DEFINITIVO_ en CorelDRAW ▶ PASO a PASO
Suscrito,923,53.9764,0:03:30,20210930,🧐 El Proceso de DISEÑO de LOGOS _DEFINITIVO_ en CorelDRAW ▶ PASO a PASO
No suscrito,752,36.6262,0:02:55,20210930,🧐 El Proceso de DISEÑO de LOGOS _DEFINITIVO_ en CorelDRAW ▶ PASO a PASO
Total,4511,238.5745,0:03:10,20220224,✨✔ ARMONIZA tus DISEÑOS si usas estas TÉCNICAS para CREAR LOGOS en CorelDRAW
No suscrito,2810,114.6849,0:02:26,20220224,✨✔ ARMONIZA tus DISEÑOS si usas estas TÉCNICAS para CREAR LOGOS en CorelDRAW
Suscrito,1701,123.8896,0:04:22,20220224,✨✔ ARMONIZA tus DISEÑOS si usas estas TÉCNICAS para CREAR LOGOS en CorelDRAW
Total,868,29.4859,0:02:02,20210914,🧩 EASY ▶ASSEMBLY◀ Techniques for Beginners & Experts ▷ CorelDRAW TUTORIAL 
Suscrito,677,21.4516,0:01:54,20210914,🧩 EASY ▶ASSEMBLY◀ Techniques for Beginners & Experts ▷ CorelDRAW TUTORIAL 
No suscrito,191,8.0343,0:02:31,20210914,🧩 EASY ▶ASSEMBLY◀ Techniques for Beginners & Experts ▷ CorelDRAW TUTORIAL 
Total,3843,207.2046,0:03:14,20211125,🔴 Cómo DISEÑAR LOGOS en POCOS PASOS 🧐 con CorelDRAW ► TUTORIAL
No suscrito,2128,114.2145,0:03:13,20211125,🔴 Cómo DISEÑAR LOGOS en POCOS PASOS 🧐 con CorelDRAW ► TUTORIAL
Suscrito,1715,92.9902,0:03:15,20211125,🔴 Cómo DISEÑAR LOGOS en POCOS PASOS 🧐 con CorelDRAW ► TUTORIAL
Total,3381,203.4507,0:03:36,20220210,✔✨Sigue estos MÉTODOS ESENCIALES para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
Suscrito,1838,120.0089,0:03:55,20220210,✔✨Sigue estos MÉTODOS ESENCIALES para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
No suscrito,1543,83.4417,0:03:14,20220210,✔✨Sigue estos MÉTODOS ESENCIALES para CREAR LOGOS en CorelDRAW ▶ TUTORIAL
